id,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1563,8351880,0.005309859,0.652126761,0.34256338,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",151,13,41,69,69,71,9,9,10,10,10,9,6.07
1564,8354938,0.00765,0.747,0.2454,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",192,6,23,53,177,20,10,10,10,10,8,9,1.81
1565,8366402,0.015882353,0.720117647,0.263941176,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",180,2,2,19,19,17,10,10,10,10,10,10,1.46
1566,8371115,0.006666667,0.751,0.242333333,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron}",178,2,3,5,5,9,10,10,10,10,10,10,0.78
1567,8371203,0.004,0.62925,0.36675,Apartment,Private room,1,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Gym,Heating,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",90,29,59,89,364,8,10,10,10,10,10,10,0.7
1568,8373729,0.019,0.7615,0.2195,Apartment,Private room,3,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",69,21,51,81,356,4,10,10,10,10,8,9,0.34
1569,8378257,0.017,0.704,0.279142857,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",85,12,42,72,347,7,9,8,9,9,9,9,0.62
1570,8384444,0.010478261,0.684434783,0.305043478,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",130,0,11,19,19,23,10,10,10,10,10,9,2.12
1571,8388481,0,0.846,0.154,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",79,5,31,61,61,4,9,10,9,9,10,10,0.36
1572,8390386,0.018571429,0.710428571,0.271,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{""Wireless Internet"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",Essentials}",100,0,0,2,2,7,10,9,10,10,8,9,0.63
